rank_diff,sets,tiebreaks,game_diff,ace_diff,winners_diff,errors_diff,distance_diff,duration
2,3,1,2.0,3,4,8,0.09999999999999964,122
4,3,2,1.0,7,28,8,0.8000000000000007,125
6,3,0,1.8,14,1,6,0.8000000000000007,129
0,3,0,2.0,5,3,8,0.29999999999999893,122
7,3,1,1.6,21,36,14,0.40000000000000036,113
12,3,0,2.6,4,8,27,0.5999999999999996,91
14,3,0,3.2,1,8,8,0.0,74
10,3,0,2.0,14,25,8,0.20000000000000018,109
18,5,1,3.4,7,22,8,0.20000000000000018,156
17,4,0,2.0,0,8,17,1.1000000000000014,209
0,4,2,1.2,17,13,29,0.09999999999999964,196
21,5,2,1.4,15,0,5,N/A,215
0,5,0,3.4,12,9,2,N/A,150
29,5,2,1.6,20,11,21,N/A,201
0,3,0,2.8,3,16,14,N/A,94
0,3,1,1.2,1,3,0,N/A,127
0,5,1,2.2,3,1,16,N/A,185
24,3,2,0.8,22,22,22,N/A,132
28,3,0,1.6,2,7,19,N/A,92
0,4,0,2.6,3,4,6,N/A,140
0,4,1,1.6,0,10,2,N/A,174
0,5,0,3.0,2,8,13,N/A,159
30,5,0,2.6,9,0,0,N/A,158
0,3,1,1.6,4,6,14,N/A,134
0,3,0,1.8,19,25,10,N/A,97
0,5,1,2.8,7,20,15,N/A,186
31,4,1,2.0,5,22,1,N/A,119
22,4,0,2.4,1,9,10,N/A,115
0,3,0,2.2,6,1,18,N/A,89
0,3,1,1.2,4,1,8,N/A,119
0,3,0,2.0,12,16,4,N/A,120
3,3,0,2.2,6,14,4,1.5,102
16,4,1,2.2,14,3,16,0.5,145
5,4,2,1.6,0,17,12,0.09999999999999964,143
8,3,0,2.0,0,14,7,0.7000000000000011,132
13,3,1,1.2,1,1,6,0.3000000000000007,119
0,5,0,2.2,2,5,5,N/A,178
0,3,0,3.0,5,7,6,0.5999999999999996,91
32,5,1,2.0,4,15,9,N/A,193
0,4,0,2.2,8,26,13,N/A,146
23,3,1,1.2,7,22,2,N/A,103
26,3,0,2.4,4,4,7,N/A,94
0,3,0,2.6,11,13,11,N/A,80
0,3,0,2.2,5,8,11,N/A,92
15,3,0,2.2,5,6,12,N/A,94
0,4,0,1.8,3,12,12,N/A,146
27,5,1,2.4,9,28,5,N/A,233
0,5,2,1.4,37,35,25,N/A,255
0,5,0,2.6,7,6,19,N/A,127
0,3,2,0.8,7,10,14,N/A,170
0,4,0,2.4,5,24,24,N/A,167
0,4,0,2.6,5,1,23,N/A,158
2,3,1,1.4,1,7,21,0.7000000000000011,124
4,3,0,2.6,0,13,7,0.29999999999999893,84
20,5,0,2.6,17,18,11,0.5999999999999996,165
9,3,0,1.6,11,24,1,0.5,96
11,4,2,1.6,4,3,13,0.40000000000000036,203
0,3,1,1.6,20,19,6,N/A,123
0,4,0,2.4,3,14,6,N/A,142
25,3,0,2.2,17,1,23,N/A,96
6,4,0,2.2,2,19,0,0.8000000000000007,155
3,3,0,2.8,6,11,13,0.20000000000000107,100
0,4,1,1.6,3,22,13,N/A,182
9,3,3,0.4,5,8,4,0.9000000000000004,165
31,3,1,1.8,6,5,6,0.8000000000000007,117
20,4,2,1.4,15,33,33,1.6999999999999993,170
7,3,1,1.6,23,21,6,0.39999999999999947,117
10,4,1,1.8,15,27,2,0.9000000000000004,170
8,4,0,2.6,5,16,19,0.9000000000000004,168
0,4,0,2.6,6,9,15,N/A,141
0,4,2,1.6,13,11,6,N/A,138
0,4,0,2.2,2,6,27,N/A,171
29,3,0,2.2,5,2,15,N/A,95
32,4,0,2.0,2,8,25,N/A,119
19,3,2,1.0,24,24,2,N/A,136
12,3,0,2.6,2,23,11,N/A,84
24,4,1,1.8,23,17,15,N/A,140
0,5,3,1.0,24,20,7,N/A,242
28,4,1,2.2,3,11,4,N/A,136
0,5,1,2.8,9,11,6,N/A,168
0,3,0,1.8,2,14,4,N/A,103
0,3,1,1.6,1,3,6,N/A,111
14,3,0,2.4,7,23,1,N/A,117
27,4,1,2.0,8,18,45,N/A,150
33,4,0,2.4,3,1,6,N/A,124
26,5,0,3.2,12,19,0,N/A,174
0,3,1,2.0,10,3,17,N/A,122
5,4,1,2.0,6,24,23,0.3000000000000007,163
4,3,0,2.4,11,10,8,0.3000000000000007,86
16,5,1,2.6,5,23,14,1.2000000000000002,125
11,3,0,2.6,10,30,4,0.0,83
13,3,0,2.4,7,18,11,0.3000000000000007,82
19,3,3,0.4,27,18,10,0.7000000000000002,136
23,5,1,2.4,14,11,9,N/A,187
33,3,0,2.0,8,16,5,N/A,87
3,3,0,2.2,7,14,13,0.40000000000000036,130
21,3,2,0.8,18,34,5,0.09999999999999964,135
27,4,2,1.8,24,22,21,0.40000000000000036,176
6,3,0,1.8,4,2,23,0.0,117
12,4,0,3.0,3,3,6,1.0,132
10,3,0,2.0,17,30,2,0.5,109
0,4,2,1.4,3,10,5,0.09999999999999964,173
25,5,0,3.4,7,3,0,N/A,198
0,4,1,1.8,1,7,9,N/A,137
5,3,0,2.0,4,7,3,N/A,107
14,4,0,2.6,5,20,0,0.1999999999999993,159
7,4,1,1.8,16,2,15,1.5999999999999996,161
32,3,0,2.4,10,19,4,0.7999999999999989,93
6,5,2,1.8,17,13,33,0.20000000000000107,264
33,4,2,1.6,11,37,13,0.6999999999999993,167
8,4,1,2.4,1,2,5,0.40000000000000036,156
4,3,0,2.2,2,12,8,0.09999999999999964,96
13,3,0,2.2,3,7,13,0.40000000000000036,102
5,5,0,2.2,10,9,17,0.09999999999999964,182
13,5,0,2.2,2,4,10,0.7999999999999989,175
29,3,1,1.2,14,22,2,0.20000000000000107,119
11,5,2,1.6,20,1,2,0.7999999999999989,235
6,5,2,1.6,4,8,12,0.3000000000000007,197
10,5,1,3.0,1,13,24,0.6999999999999993,233
22,4,0,1.8,2,22,12,0.3000000000000007,151
22,3,0,1.8,1,12,10,0.6999999999999993,114
3,5,1,2.0,7,26,26,0.09999999999999964,204
8,3,0,2.2,2,12,21,0.40000000000000036,117
4,3,2,0.8,1,0,17,0.29999999999999893,168
