Round,Duration,Winner,Sets,Set1,Set2,Set3,Set4,Set5,Tiebreaks,Rank1,Aces1,Winners1,Errors1,Dist1,Rank2,Aces2,Winners2,Errors2,Dist2
1,122,1,3,6,0,2,-1,-1,1,1,7,29,21,11.1,-1,10,25,29,11.2
1,125,1,3,0,0,3,-1,-1,2,3,12,51,18,9.3,-1,5,23,10,8.5
1,129,1,3,2,3,2,-1,-1,0,5,1,31,23,7.5,-1,15,30,29,8.3
1,122,2,3,4,2,2,-1,-1,0,-1,7,28,36,9.2,-1,12,31,28,8.9
1,113,1,3,0,4,2,-1,-1,1,6,27,58,22,5.7,-1,6,22,8,5.3
1,91,1,3,4,3,4,-1,-1,0,11,6,23,15,9.5,-1,2,15,42,8.9
1,74,1,3,4,5,5,-1,-1,0,13,3,22,13,10,-1,2,14,21,10
1,109,1,3,3,2,3,-1,-1,0,9,18,43,25,2.7,-1,4,18,33,2.5
1,156,2,5,0,6,-2,5,4,1,17,19,44,28,5.9,-1,12,66,20,5.7
1,209,1,4,-2,2,2,3,-1,0,16,6,27,38,16.3,-1,6,35,55,15.2
1,196,1,4,3,0,0,2,-1,2,-1,10,46,26,6,-1,27,59,55,5.9
1,215,2,5,-2,0,2,0,3,2,20,28,59,28,N/A,-1,13,59,33,N/A
1,150,2,5,-4,4,3,-4,2,0,-1,0,46,44,N/A,-1,12,37,42,N/A
1,201,1,5,0,0,2,4,2,2,28,33,82,27,N/A,-1,13,71,48,N/A
1,94,1,3,4,2,6,-1,-1,0,-1,8,31,20,N/A,-1,5,15,34,N/A
1,127,2,3,2,0,2,-1,-1,1,-1,8,32,34,N/A,-1,9,29,34,N/A
1,185,1,5,3,0,-2,-3,3,1,-1,14,53,61,N/A,-1,11,52,45,N/A
1,132,1,3,0,0,2,-1,-1,2,23,26,55,33,N/A,-1,4,33,11,N/A
1,92,1,3,2,2,2,-1,-1,0,27,5,26,13,N/A,-1,7,33,32,N/A
1,140,1,4,-5,3,2,2,-1,0,-1,7,45,25,N/A,-1,10,49,31,N/A
1,174,2,4,2,0,2,3,-1,1,-1,10,44,32,N/A,-1,10,54,30,N/A
1,159,1,5,-3,2,3,-5,2,0,-1,6,30,37,N/A,-1,8,38,50,N/A
1,158,2,5,3,-3,-2,3,2,0,29,15,36,35,N/A,-1,6,36,35,N/A
1,134,1,3,2,4,0,-1,-1,1,-1,12,33,14,N/A,-1,8,27,28,N/A
1,97,1,3,3,2,2,-1,-1,0,-1,19,46,24,N/A,-1,0,21,14,N/A
1,186,1,5,0,2,-4,-5,3,1,-1,4,37,36,N/A,-1,11,57,51,N/A
1,119,2,4,4,2,-3,0,-1,1,-1,8,23,23,N/A,30,13,45,24,N/A
1,115,2,4,2,3,-3,3,-1,0,21,10,29,16,N/A,-1,9,38,26,N/A
1,89,2,3,3,2,4,-1,-1,0,-1,7,23,34,N/A,-1,1,24,16,N/A
1,119,2,3,0,2,2,-1,-1,1,-1,12,34,30,N/A,-1,8,33,22,N/A
1,120,2,3,3,3,2,-1,-1,0,-1,2,27,40,N/A,-1,14,43,44,N/A
1,102,2,3,4,3,2,-1,-1,0,-1,2,17,22,12.2,2,8,31,18,10.7
1,145,1,4,2,3,0,5,-1,1,15,25,48,22,7,-1,11,45,38,7.5
1,143,2,4,0,5,0,2,-1,2,-1,6,24,36,8.3,4,6,41,48,8.4
1,132,1,3,3,2,3,-1,-1,0,7,7,38,23,9.6,-1,7,24,30,10.3
1,119,2,3,2,0,2,-1,-1,1,-1,10,40,33,8.2,12,9,41,27,8.5
1,178,1,5,2,-2,-2,2,3,0,-1,7,46,42,N/A,-1,9,41,37,N/A
1,91,2,3,5,2,6,-1,-1,0,-1,10,23,24,9,-1,5,30,18,9.6
1,193,2,5,-3,0,-2,3,2,1,-1,12,53,47,N/A,31,16,68,38,N/A
